Soil_Type,Description,Class 1,Class 2,Class 3
Soil_Type1,"1 Cathedral family - Rock outcrop complex, extremely stony.",Cathedral,,
Soil_Type2,"2 Vanet - Ratake families complex, very stony.",Vanet,Ratake,
Soil_Type3,"3 Haploborolis - Rock outcrop complex, rubbly.",Haploborolis,,
Soil_Type4,"4 Ratake family - Rock outcrop complex, rubbly.",Ratake,,
Soil_Type5,"5 Vanet family - Rock outcrop complex complex, rubbly.",Vanet,,
Soil_Type6,"6 Vanet - Wetmore families - Rock outcrop complex, stony.",Vanet,Wetmore,
Soil_Type7,7 Gothic family.,Gothic,,
Soil_Type8,8 Supervisor - Limber families complex.,Supervisor,Limber,
Soil_Type9,"9 Troutville family, very stony.",Troutville,,
Soil_Type10,"10 Bullwark - Catamount families - Rock outcrop complex, rubbly.",Bullwark,Catamount,
Soil_Type11,"11 Bullwark - Catamount families - Rock land complex, rubbly.",Bullwark,Catamount,
Soil_Type12,"12 Legault family - Rock land complex, stony.",Legault,,
Soil_Type13,"13 Catamount family - Rock land - Bullwark family complex, rubbly.",Catamount,Bullwark,
Soil_Type14,14 Pachic Argiborolis - Aquolis complex.,Argiborolis,Aquolis,
Soil_Type15,15 unspecified in the USFS Soil and ELU Survey.,,,
Soil_Type16,16 Cryaquolis - Cryoborolis complex.,Cryaquolis,Cryoborolis,
Soil_Type17,17 Gateview family - Cryaquolis complex.,Gateview,Cryaquolis,
Soil_Type18,"18 Rogert family, very stony.",Rogert,,
Soil_Type19,19 Typic Cryaquolis - Borohemists complex.,Cryaquolis,Borohemists,
Soil_Type20,20 Typic Cryaquepts - Typic Cryaquolls complex.,Cryaquepts,Cryaquolls,
Soil_Type21,"21 Typic Cryaquolls - Leighcan family, till substratum complex.",Cryaquolls,Leighcan,
Soil_Type22,"22 Leighcan family, till substratum, extremely bouldery.",Leighcan,,
Soil_Type23,"23 Leighcan family, till substratum - Typic Cryaquolls complex.",Leighcan,Cryaquolls,
Soil_Type24,"24 Leighcan family, extremely stony.",Leighcan,,
Soil_Type25,"25 Leighcan family, warm, extremely stony.",Leighcan,,
Soil_Type26,"26 Granile - Catamount families complex, very stony.",Granile,Catamount,
Soil_Type27,"27 Leighcan family, warm - Rock outcrop complex, extremely stony.",Leighcan,,
Soil_Type28,"28 Leighcan family - Rock outcrop complex, extremely stony.",Leighcan,,
Soil_Type29,"29 Como - Legault families complex, extremely stony.",Como,Legault,
Soil_Type30,"30 Como family - Rock land - Legault family complex, extremely stony.",Como,Legault,
Soil_Type31,"31 Leighcan - Catamount families complex, extremely stony.",Leighcan,Catamount,
Soil_Type32,"32 Catamount family - Rock outcrop - Leighcan family complex, extremely stony.",Catamount,Leighcan,
Soil_Type33,"33 Leighcan - Catamount families - Rock outcrop complex, extremely stony.",Leighcan,Catamount,
Soil_Type34,"34 Cryorthents - Rock land complex, extremely stony.",Cryorthents,,
Soil_Type35,35 Cryumbrepts - Rock outcrop - Cryaquepts complex.,Cryumbrepts,Cryaquepts,
Soil_Type36,"36 Bross family - Rock land - Cryumbrepts complex, extremely stony.",Bross,Cryumbrepts,
Soil_Type37,"37 Rock outcrop - Cryumbrepts - Cryorthents complex, extremely stony.",Cryumbrepts,Cryorthents,
Soil_Type38,"38 Leighcan - Moran families - Cryaquolls complex, extremely stony.",Leighcan,Moran,Cryaquolls
Soil_Type39,"39 Moran family - Cryorthents - Leighcan family complex, extremely stony.",Moran,Cryorthents,Leighcan
Soil_Type40,"40 Moran family - Cryorthents - Rock land complex, extremely stony.",Moran,Cryorthents,
